date,py_date,median_price,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
Aug 09 2015,2015-08-09,11.597,979,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Aug 10 2015,2015-08-10,11.738,1132,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Aug 11 2015,2015-08-11,11.896,1055,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Aug 12 2015,2015-08-12,11.977,1029,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Aug 13 2015,2015-08-13,11.465,1017,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Aug 14 2015,2015-08-14,11.496,1089,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Aug 15 2015,2015-08-15,10.622,1438,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Aug 16 2015,2015-08-16,10.787,1164,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Aug 17 2015,2015-08-17,11.024,1216,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Aug 18 2015,2015-08-18,11.236,1049,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Aug 19 2015,2015-08-19,11.132,1020,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Aug 20 2015,2015-08-20,11.011,1207,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Aug 21 2015,2015-08-21,11.029,1410,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Aug 22 2015,2015-08-22,11.264,1291,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
Aug 23 2015,2015-08-23,10.325,1653,AWP | Man-o'-war,AWP,Man-o'-war,Minimal Wear,0,1,0
