date,py_date,median_price,volume_sold,item,weapon,skin,wear,stattrak,treated_unit,post_treat
Feb 28 2016,2016-02-28,28.059,70,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Feb 29 2016,2016-02-29,28.599,73,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Mar 01 2016,2016-03-01,28.369,80,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Mar 02 2016,2016-03-02,30.101,77,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Mar 03 2016,2016-03-03,29.766,77,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Mar 04 2016,2016-03-04,30.416,87,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Mar 05 2016,2016-03-05,30.323,92,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Mar 06 2016,2016-03-06,29.949,77,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Mar 07 2016,2016-03-07,29.285,84,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Mar 08 2016,2016-03-08,29.527,68,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Mar 09 2016,2016-03-09,29.254,59,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Mar 10 2016,2016-03-10,30.055,68,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Mar 11 2016,2016-03-11,29.94,54,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Mar 12 2016,2016-03-12,29.96,87,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Mar 13 2016,2016-03-13,31.237,68,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Mar 14 2016,2016-03-14,30.428,65,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Mar 15 2016,2016-03-15,30.859,55,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Mar 16 2016,2016-03-16,30.846,58,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Mar 17 2016,2016-03-17,30.656,62,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Mar 18 2016,2016-03-18,30.214,95,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Mar 19 2016,2016-03-19,30.663,68,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Mar 20 2016,2016-03-20,29.979,63,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Mar 21 2016,2016-03-21,30.919,67,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Mar 22 2016,2016-03-22,30.135,69,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Mar 23 2016,2016-03-23,31.341,65,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Mar 24 2016,2016-03-24,31.576,78,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Mar 25 2016,2016-03-25,30.545,82,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Mar 26 2016,2016-03-26,32.0,84,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Mar 27 2016,2016-03-27,30.065,72,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Mar 28 2016,2016-03-28,28.685,80,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Mar 29 2016,2016-03-29,29.519,86,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Mar 30 2016,2016-03-30,31.349,95,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Mar 31 2016,2016-03-31,32.899,82,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Apr 01 2016,2016-04-01,33.119,90,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Apr 02 2016,2016-04-02,34.63,77,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Apr 03 2016,2016-04-03,31.374,111,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Apr 04 2016,2016-04-04,33.64,66,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Apr 05 2016,2016-04-05,35.264,88,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Apr 06 2016,2016-04-06,36.793,58,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Apr 07 2016,2016-04-07,34.789,62,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Apr 08 2016,2016-04-08,34.957,63,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Apr 09 2016,2016-04-09,33.877,84,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Apr 10 2016,2016-04-10,34.651,88,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Apr 11 2016,2016-04-11,35.803,58,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Apr 12 2016,2016-04-12,35.339,70,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Apr 13 2016,2016-04-13,35.959,69,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Apr 14 2016,2016-04-14,34.994,74,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Apr 15 2016,2016-04-15,35.442,71,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Apr 16 2016,2016-04-16,35.066,65,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
Apr 17 2016,2016-04-17,33.598,78,USP-S | Kill Confirmed,USP-S,Kill Confirmed,Minimal Wear,0,1,0
